timecost:0.36, lr:0.00011999596801769616, epoch:212, train_loss:0.0272, train_acc:99.87
timecost:0.35, lr:0.0001175201839416988, epoch:213, train_loss:0.1976, train_acc:95.83
timecost:0.35, lr:0.00011506233551212186, epoch:214, train_loss:0.1548, train_acc:96.47
timecost:0.35, lr:0.00011262275548229858, epoch:215, train_loss:0.0160, train_acc:99.94
timecost:0.36, lr:0.00011020177413231333, epoch:216, train_loss:0.3645, train_acc:89.29
timecost:0.35, lr:0.00010779971922428702, epoch:217, train_loss:0.1472, train_acc:97.44
timecost:0.36, lr:0.00010541691595800337, epoch:218, train_loss:0.0337, train_acc:99.74
timecost:0.35, lr:0.00010305368692688174, epoch:219, train_loss:0.0125, train_acc:100.00
timecost:0.35, lr:0.00010071035207430351, epoch:220, train_loss:0.0253, train_acc:99.87
timecost:0.35, lr:9.838722865029662e-05, epoch:221, train_loss:0.0270, train_acc:99.87
timecost:0.36, lr:9.608463116858542e-05, epoch:222, train_loss:0.0124, train_acc:100.00
timecost:0.35, lr:9.380287136401001e-05, epoch:223, train_loss:0.0562, train_acc:98.91
timecost:0.35, lr:9.154225815032249e-05, epoch:224, train_loss:0.0324, train_acc:100.00
timecost:0.35, lr:8.930309757836516e-05, epoch:225, train_loss:0.0219, train_acc:100.00
timecost:0.35, lr:8.708569279463622e-05, epoch:226, train_loss:0.8004, train_acc:75.77
timecost:0.35, lr:8.489034400024811e-05, epoch:227, train_loss:0.0271, train_acc:100.00
timecost:0.36, lr:8.271734841028545e-05, epoch:228, train_loss:0.0258, train_acc:99.94
timecost:0.36, lr:8.056700021356695e-05, epoch:229, train_loss:0.1984, train_acc:95.32
timecost:0.35, lr:7.843959053281663e-05, epoch:230, train_loss:0.0129, train_acc:100.00
timecost:0.36, lr:7.633540738525066e-05, epoch:231, train_loss:0.0127, train_acc:100.00
timecost:0.36, lr:7.425473564358457e-05, epoch:232, train_loss:0.0164, train_acc:100.00
timecost:0.35, lr:7.219785699746572e-05, epoch:233, train_loss:0.0345, train_acc:99.81
timecost:0.35, lr:7.016504991533726e-05, epoch:234, train_loss:0.1400, train_acc:96.03
timecost:0.35, lr:6.815658960673781e-05, epoch:235, train_loss:0.0297, train_acc:100.00
timecost:0.35, lr:6.617274798504286e-05, epoch:236, train_loss:0.0264, train_acc:100.00
timecost:0.35, lr:6.42137936306515e-05, epoch:237, train_loss:0.0157, train_acc:100.00
timecost:0.36, lr:6.22799917546252e-05, epoch:238, train_loss:0.0148, train_acc:100.00
timecost:0.35, lr:6.0371604162782786e-05, epoch:239, train_loss:0.0114, train_acc:100.00
timecost:0.36, lr:5.848888922025544e-05, epoch:240, train_loss:0.0128, train_acc:100.00
timecost:0.36, lr:5.663210181650899e-05, epoch:241, train_loss:0.0181, train_acc:99.94
timecost:0.35, lr:5.48014933308352e-05, epoch:242, train_loss:0.0110, train_acc:100.00
timecost:0.36, lr:5.299731159831953e-05, epoch:243, train_loss:0.0120, train_acc:100.00
timecost:0.35, lr:5.121980087628811e-05, epoch:244, train_loss:0.0104, train_acc:100.00
timecost:0.36, lr:4.946920181123904e-05, epoch:245, train_loss:0.0118, train_acc:100.00
timecost:0.35, lr:4.7745751406263163e-05, epoch:246, train_loss:0.0103, train_acc:100.00
timecost:0.35, lr:4.6049682988957036e-05, epoch:247, train_loss:0.0090, train_acc:100.00
timecost:0.35, lr:4.438122617983448e-05, epoch:248, train_loss:0.0095, train_acc:100.00
timecost:0.35, lr:4.274060686123959e-05, epoch:249, train_loss:0.0282, train_acc:99.87
timecost:0.35, lr:4.112804714676585e-05, epoch:250, train_loss:0.0115, train_acc:100.00
timecost:0.35, lr:3.9543765351185616e-05, epoch:251, train_loss:0.0322, train_acc:99.55
timecost:0.35, lr:3.798797596089351e-05, epoch:252, train_loss:0.0155, train_acc:100.00
timecost:0.35, lr:3.6460889604868625e-05, epoch:253, train_loss:0.0162, train_acc:100.00
timecost:0.35, lr:3.4962713026158694e-05, epoch:254, train_loss:0.0186, train_acc:100.00
timecost:0.35, lr:3.3493649053890325e-05, epoch:255, train_loss:0.0188, train_acc:100.00
timecost:0.35, lr:3.2053896575809424e-05, epoch:256, train_loss:0.0175, train_acc:100.00
timecost:0.35, lr:3.064365051135454e-05, epoch:257, train_loss:0.0139, train_acc:100.00
timecost:0.36, lr:2.9263101785268308e-05, epoch:258, train_loss:0.1545, train_acc:97.05
timecost:0.35, lr:2.7912437301749028e-05, epoch:259, train_loss:0.0209, train_acc:100.00
timecost:0.36, lr:2.6591839919146905e-05, epoch:260, train_loss:0.0176, train_acc:100.00
timecost:0.35, lr:2.530148842520824e-05, epoch:261, train_loss:0.0230, train_acc:99.94
timecost:0.35, lr:2.4041557512869877e-05, epoch:262, train_loss:0.0211, train_acc:100.00
timecost:0.35, lr:2.281221775660894e-05, epoch:263, train_loss:0.0178, train_acc:100.00
